timestamp,batt_mV,Time Elapsed (hours)
946966105,2905,0.18611111111111112
946966115,2906,0.18888888888888888
946966125,2892,0.19166666666666668
946966135,2910,0.19444444444444445
946966145,2903,0.19722222222222222
946966155,2903,0.2
946966165,2907,0.20277777777777778
946966175,2907,0.20555555555555555
946966185,2903,0.20833333333333334
946966195,2904,0.2111111111111111
946966205,2909,0.21388888888888888
946966215,2903,0.21666666666666667
946966225,2909,0.21944444444444444
946966235,2899,0.2222222222222222
946966245,2901,0.225
946966255,2904,0.22777777777777777
946966265,2905,0.23055555555555557
946966275,2903,0.23333333333333334
946966285,2907,0.2361111111111111
946966295,2900,0.2388888888888889
946966305,2905,0.24166666666666667
946966315,2903,0.24444444444444444
946966325,2905,0.24722222222222223
946966335,2899,0.25
946966345,2907,0.25277777777777777
946966355,2897,0.25555555555555554
946966365,2895,0.25833333333333336
946966375,2901,0.2611111111111111
946966385,2904,0.2638888888888889
946966395,2900,0.26666666666666666
946966405,2900,0.26944444444444443
946966415,2904,0.2722222222222222
946966425,2904,0.275
946966435,2899,0.2777777777777778
946966445,2900,0.28055555555555556
946966455,2907,0.2833333333333333
946966465,2901,0.2861111111111111
946966475,2900,0.28888888888888886
946966485,2894,0.2916666666666667
946966495,2909,0.29444444444444445
946966505,2897,0.2972222222222222
946966515,2899,0.3
946966525,2900,0.30277777777777776
946966535,2898,0.3055555555555556
946966545,2900,0.30833333333333335
946966555,2901,0.3111111111111111
946966565,2900,0.3138888888888889
946966575,2901,0.31666666666666665
946966585,2901,0.3194444444444444
946966595,2900,0.32222222222222224
946966605,2895,0.325
946966615,2901,0.3277777777777778
946966625,2907,0.33055555555555555
946966635,2905,0.3333333333333333
946966645,2904,0.33611111111111114
946966655,2903,0.3388888888888889
946966665,2905,0.3416666666666667
946966675,2900,0.34444444444444444
946966685,2903,0.3472222222222222
946966695,2898,0.35
946966705,2901,0.3527777777777778
946966715,2907,0.35555555555555557
946966725,2905,0.35833333333333334
946966735,2899,0.3611111111111111
946966745,2905,0.3638888888888889
946966755,2898,0.36666666666666664
946966765,2901,0.36944444444444446
946966775,2900,0.37222222222222223
946966785,2904,0.375
946966795,2903,0.37777777777777777
946966805,2897,0.38055555555555554
946966815,2905,0.38333333333333336
946966825,2909,0.3861111111111111
946966835,2905,0.3888888888888889
946966845,2906,0.39166666666666666
946966855,2907,0.39444444444444443
946966865,2895,0.3972222222222222
946966875,2900,0.4
946966885,2911,0.4027777777777778
946966895,2899,0.40555555555555556
946966905,2899,0.4083333333333333
946966915,2897,0.4111111111111111
946966925,2891,0.41388888888888886
946966935,2900,0.4166666666666667
946966945,2892,0.41944444444444445
946966955,2907,0.4222222222222222
946966965,2905,0.425
946966975,2907,0.42777777777777776
946966985,2909,0.4305555555555556
946966995,2904,0.43333333333333335
946967005,2905,0.4361111111111111
946967015,2905,0.4388888888888889
946967025,2899,0.44166666666666665
946967035,2898,0.4444444444444444
946967045,2901,0.44722222222222224
946967055,2904,0.45
946967065,2903,0.4527777777777778
946967075,2895,0.45555555555555555
946967085,2898,0.4583333333333333
946967095,2903,0.46111111111111114
946967105,2898,0.4638888888888889
946967115,2904,0.4666666666666667
946967125,2908,0.46944444444444444
946967135,2901,0.4722222222222222
946967145,2899,0.475
946967155,2899,0.4777777777777778
946967165,2901,0.48055555555555557
946967175,2903,0.48333333333333334
946967185,2904,0.4861111111111111
946967195,2905,0.4888888888888889
946967205,2905,0.49166666666666664
946967215,2909,0.49444444444444446
946967225,2903,0.49722222222222223
946967235,2903,0.5
946967245,2904,0.5027777777777778
946967255,2909,0.5055555555555555
946967265,2900,0.5083333333333333
946967275,2904,0.5111111111111111
946967285,2907,0.5138888888888888
946967295,2905,0.5166666666666667
946967306,2903,0.5197222222222222
946967316,2905,0.5225
946967326,2905,0.5252777777777777
