timestamp,batt_mV,Time Elapsed (hours)
946939851,2962,0.3333333333333333
946939861,2958,0.33611111111111114
946939871,2953,0.3388888888888889
946939881,2954,0.3416666666666667
946939891,2955,0.34444444444444444
946939901,2962,0.3472222222222222
946939911,2961,0.35
946939921,2961,0.3527777777777778
946939931,2952,0.35555555555555557
946939941,2957,0.35833333333333334
946939951,2955,0.3611111111111111
946939961,2955,0.3638888888888889
946939971,2955,0.36666666666666664
946939981,2955,0.36944444444444446
946939991,2966,0.37222222222222223
946940001,2953,0.375
946940011,2963,0.37777777777777777
946940021,2963,0.38055555555555554
946940031,2955,0.38333333333333336
946940041,2958,0.3861111111111111
946940051,2954,0.3888888888888889
946940061,2954,0.39166666666666666
946940071,2956,0.39444444444444443
946940081,2958,0.3972222222222222
946940091,2955,0.4
946940101,2958,0.4027777777777778
946940111,2958,0.40555555555555556
946940121,2961,0.4083333333333333
946940131,2947,0.4111111111111111
946940141,2951,0.41388888888888886
946940151,2958,0.4166666666666667
946940161,2955,0.41944444444444445
946940171,2961,0.4222222222222222
946940181,2961,0.425
946940191,2961,0.42777777777777776
946940201,2963,0.4305555555555556
946940211,2965,0.43333333333333335
946940221,2962,0.4361111111111111
946940231,2957,0.4388888888888889
946940241,2953,0.44166666666666665
946940251,2958,0.4444444444444444
946940261,2957,0.44722222222222224
946940271,2965,0.45
946940281,2958,0.4527777777777778
946940291,2965,0.45555555555555555
946940301,2956,0.4583333333333333
946940311,2962,0.46111111111111114
946940321,2959,0.4638888888888889
946940331,2955,0.4666666666666667
946940341,2956,0.46944444444444444
946940351,2963,0.4722222222222222
946940361,2963,0.475
946940371,2957,0.4777777777777778
946940381,2955,0.48055555555555557
946940391,2965,0.48333333333333334
946940401,2959,0.4861111111111111
946940411,2963,0.4888888888888889
946940421,2958,0.49166666666666664
946940431,2961,0.49444444444444446
946940441,2965,0.49722222222222223
946940451,2953,0.5
946940461,2961,0.5027777777777778
946940471,2955,0.5055555555555555
946940481,2965,0.5083333333333333
946940491,2956,0.5111111111111111
946940501,2955,0.5138888888888888
946940511,2955,0.5166666666666667
946940521,2959,0.5194444444444445
946940531,2963,0.5222222222222223
946940541,2959,0.525
